,tot_cases,infected
0,4.0,4.0
1,6.893383847732539,6.603252712877673
2,17.318863766464275,15.983321230011764
3,54.88272018463719,49.78038452266622
4,190.21051675778799,171.5367341140367
5,677.5117912909564,609.9534229695896
6,2432.1292020043315,2188.355984350892
7,8701.06900785368,7825.177725956712
8,30618.33421906499,27500.70614139544
9,101796.54190301077,91033.83174486778
10,287123.10392311105,253213.41715336964
11,582718.1987582567,495417.2859848433
12,825644.5009582484,654468.3404731822
13,958603.9606867981,690389.7731556434
14,1063510.6235853229,696444.1287205343
15,1208595.2741312054,739431.5408565317
16,1358821.7690817893,780528.3325869252
17,1450248.1659989608,761148.3523812027
18,1503851.264599167,709618.4338519111
19,1561297.2910949392,668860.7961202083
20,1626361.3373407216,640367.084975407
21,1670942.7217355303,596359.1573104387
22,1695322.9513152998,539566.1163976819
23,1718167.2718504139,489100.2182241221
24,1749197.4130552583,452966.36569303565
25,1776497.8847010958,417969.188387928
26,1790474.1787601504,375218.5457325286
27,1795988.0102998936,330347.4555985397
28,1798106.5625882666,288322.8677444221
29,1798980.8600520405,250746.7553392094
30,1799378.9646355184,217733.97553629003
31,1799579.0946284847,188933.3205914101
32,1799689.2152904589,163883.59690917467
33,1799754.7713903638,142127.40277965594
34,1799796.4852056657,123245.42947238912
35,1799824.5350606018,106864.45692168527
36,1799844.2689109284,92656.48805793357
37,1799858.6715497596,80335.00586675062
38,1799869.500670373,69650.50075994675
39,1799877.841651815,60386.056768526076
40,1799884.3933457022,52353.27684097475
41,1799889.6225847886,45388.62924841331
42,1799893.8514478104,39350.21818832151
43,1799897.3085297924,34114.95099896693
44,1799900.160158501,29576.063921816225
45,1799902.5300223609,25640.96651719825
46,1799904.5118773237,22229.366628940756
47,1799906.1779931984,19271.641014499924
48,1799907.5849040262,16707.42038521183
49,1799908.7774097207,14484.361188190032
50,1799909.791416282,12557.079828284028
51,1799910.655989278,10886.228023917938
52,1799911.3948629466,9437.690764064353
53,1799912.0275668306,8181.890676217076
54,1799912.5702785354,7093.184747906591
55,1799913.036477658,6149.341173506493
56,1799913.4374534453,5331.085712368253
57,1799913.7827030625,4621.708331775841
58,1799914.0802473375,4006.722142343793
59,1799914.3368833652,3473.567678668961
60,1799914.5583883582,3011.356499621629
61,1799914.7496853983,2610.648888860171
62,1799914.9149791813,2263.261121776676
63,1799915.0578679047,1962.0983624463502
64,1799915.1814360013,1701.00979606384
65,1799915.2883314402,1474.6630255659984
66,1799915.3808304132,1278.435180921213
67,1799915.460891735,1108.3185154844773
68,1799915.530202737,960.8385586136546
69,1799915.5902181205,832.9831614804464
70,1799915.6421929572,722.1409804166026
71,1799915.6872107727,626.0481460066774
72,1799915.7262075148,542.7420284883336
73,1799915.7599920377,470.52115388699417
74,1799915.789263657,407.91045453924664
75,1799915.8146271994,353.6311425959143
76,1799915.8366059358,306.57459229074846
77,1799915.8556527002,265.7796978496254
78,1799915.8721594645,230.41324364663086
79,1799915.8864655888,199.75288650939848
80,1799915.8988649345,173.1724026395038
81,1799915.9096120025,150.12889739294678
82,1799915.9189272374,130.15171704488668
83,1799915.9270016046,112.83283605776944
84,1799915.9340005505,97.81852335240558
85,1799915.9400674242,84.80211759809535
86,1799915.9453264384,73.51776383908526
87,1799915.9498852317,63.73498350603136
88,1799915.9538370846,55.25396705469193
89,1799915.9572628394,47.901492921536686
90,1799915.9602325612,41.5273895638695
91,1799915.9628069766,36.001468283351066
92,1799915.9650387228,31.210864160091347
93,1799915.966973421,27.05773085276748
94,1799915.9686506183,23.45724211629473
95,1799915.9701045929,20.33585926346813
96,1799915.9713650597,17.629829169512725
97,1799915.9724577763,15.283882134330545
98,1799915.97340507,13.250103024423742
99,1799915.9742262964,11.486952622552776
